name,state,district,office time,website,contact,party
 Representative Rob Bishop,Utah,1,House: 108th-116th (2003-Present),https://robbishop.house.gov,123 Cannon House Office Building(202) 225-0453,Republican
" Representative Sanford D. Bishop, Jr.",Georgia,2,House: 103rd-116th (1993-Present),https://bishop.house.gov/,2407 Rayburn House Office Building(202) 225-3631,Democratic
 Senator Marsha Blackburn,Tennessee,--,Senate: 116th (2019-Present),https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510(202) 224-3344,Republican
 Representative Earl Blumenauer,Oregon,3,House: 104th-116th (1995-Present),https://blumenauer.house.gov/,1111 Longworth House Office Building(202) 225-4811,Democratic
 Senator Richard  Blumenthal,Connecticut,,Senate: 112th-116th (2011-Present),http://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510(202) 224-2823,Democratic
 Representative Lisa Blunt Rochester,Delaware,At Large,House: 115th-116th (2017-Present),https://bluntrochester.house.gov,1519 Longworth House Office Building(202) 225-4165,Democratic
 Senator Roy Blunt,Missouri,--,Senate: 112th-116th (2011-Present),http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510(202) 224-5721,Republican
 Representative Suzanne Bonamici,Oregon,1,House: 112th-116th (2012-Present),https://bonamici.house.gov,2231 Rayburn House Office Building(202) 225-0855,Democratic
 Senator Cory A. Booker,New Jersey,,Senate: 113th-116th (2013-Present),http://www.booker.senate.gov,717 Hart Senate Office Building Washington DC 20510(202) 224-3224,Democratic
 Senator John Boozman,Arkansas,--,Senate: 112th-116th (2011-Present),http://www.boozman.senate.gov/,141 Hart Senate Office Building Washington DC 20510(202) 224-4843,Republican
 Representative Mike Bost,Illinois,12,House: 114th-116th (2015-Present),https://bost.house.gov/,1440 Longworth House Office Building(202) 225-5661,Republican
 Representative Brendan F. Boyle,Pennsylvania,2,House: 116th (2019-Present),https://boyle.house.gov/,1133 Longworth House Office Building(202) 225-6111,Democratic
 Representative Kevin Brady,Texas,8,House: 105th-116th (1997-Present),https://kevinbrady.house.gov/,1011 Longworth House Office Building(202) 225-4901,Republican
 Senator Mike  Braun,Indiana,,Senate: 116th (2019-Present),https://www.braun.senate.gov,374 Russell Senate Office Building Washington DC 20510(202) 224-4814,Republican
 Representative Anthony Brindisi,New York,22,House: 116th (2019-Present),https://brindisi.house.gov,329 Cannon House Office Building(202) 225-3665,Democratic
 Representative Mo Brooks,Alabama,5,House: 112th-116th (2011-Present),https://brooks.house.gov/,2246 Rayburn House Office Building(202) 225-4801,Republican
 Representative Susan W. Brooks,Indiana,5,House: 113th-116th (2013-Present),https://susanwbrooks.house.gov,2211 Rayburn House Office Building(202) 225-2276,Republican
 Representative Anthony G. Brown,Maryland,4,House: 115th-116th (2017-Present),https://anthonybrown.house.gov,1323 Longworth House Office Building(202) 225-8699,Democratic
 Senator Sherrod Brown,Ohio,--,Senate: 110th-116th (2007-Present),http://www.brown.senate.gov/,503 Hart Senate Office Building Washington DC 20510(202) 224-2315,Democratic
 Representative Julia Brownley,California,26,House: 113th-116th (2013-Present),https://juliabrownley.house.gov,2262 Rayburn House Office Building(202) 225-5811,Democratic
 Representative Vern Buchanan,Florida,16,House: 113th-116th (2013-Present),https://buchanan.house.gov/,2427 Rayburn House Office Building(202) 225-5015,Republican
 Representative Ken Buck,Colorado,4,House: 114th-116th (2015-Present),https://buck.house.gov/,2455 Rayburn House Office Building(202) 225-4676,Republican
 Representative Larry Bucshon,Indiana,8,House: 112th-116th (2011-Present),https://bucshon.house.gov/,2313 Rayburn House Office Building(202) 225-4636,Republican
 Representative Ted Budd,North Carolina,13,House: 115th-116th (2017-Present),https://budd.house.gov,118 Cannon House Office Building(202) 225-4531,Republican
 Representative Tim Burchett,Tennessee,2,House: 116th (2019-Present),https://burchett.house.gov,1122 Longworth House Office Building(202) 225-5435,Republican
 Representative Michael C. Burgess,Texas,26,House: 108th-116th (2003-Present),https://burgess.house.gov/,2161 Rayburn House Office Building(202) 225-7772,Republican
 Senator Richard Burr,North Carolina,--,Senate: 109th-116th (2005-Present),http://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510(202) 224-3154,Republican
 Representative Cheri Bustos,Illinois,17,House: 113th-116th (2013-Present),https://bustos.house.gov,1233 Longworth House Office Building(202) 225-5905,Democratic
 Representative G. K. Butterfield,North Carolina,1,House: 108th-116th (2004-Present),https://butterfield.house.gov,2080 Rayburn House Office Building(202) 225-3101,Democratic
 Representative Bradley Byrne,Alabama,1,House: 113th-116th (2014-Present),https://byrne.house.gov/,119 Cannon House Office Building(202) 225-4931,Republican
 Representative Ken Calvert,California,42,House: 113th-116th (2013-Present),https://calvert.house.gov/,2205 Rayburn House Office Building(202) 225-1986,Republican
 Senator Maria Cantwell,Washington,--,Senate: 107th-116th (2001-Present),http://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510(202) 224-3441,Democratic
 Senator Shelley Moore Capito,West Virginia,--,Senate: 114th-116th (2015-Present),http://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510(202) 224-6472,Republican
 Representative Salud O. Carbajal,California,24,House: 115th-116th (2017-Present),https://carbajal.house.gov,1431 Longworth House Office Building(202) 225-3601,Democratic
 Representative Tony Cardenas,California,29,House: 113th-116th (2013-Present),https://cardenas.house.gov,2438 Rayburn House Office Building(202) 225-6131,Democratic
 Senator Benjamin L. Cardin,Maryland,--,Senate: 110th-116th (2007-Present),http://www.cardin.senate.gov/,509 Hart Senate Office Building Washington DC 20510(202) 224-4524,Democratic
 Senator Thomas R. Carper,Delaware,--,Senate: 107th-116th (2001-Present),http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510(202) 224-2441,Democratic
 Representative Andre Carson,Indiana,7,House: 110th-116th (2008-Present),https://carson.house.gov/,2135 Rayburn House Office Building(202) 225-4011,Democratic
" Representative Earl L. ""Buddy"" Carter",Georgia,1,House: 114th-116th (2015-Present),https://buddycarter.house.gov/,2432 Rayburn House Office Building(202) 225-5831,Republican
 Representative John R. Carter,Texas,31,House: 108th-116th (2003-Present),https://carter.house.gov/,2110 Rayburn House Office Building(202) 225-3864,Republican
 Representative Matt Cartwright,Pennsylvania,8,House: 116th (2019-Present),https://cartwright.house.gov,1034 Longworth House Office Building(202) 225-5546,Democratic
 Representative Ed Case,Hawaii,1,House: 116th (2019-Present),https://case.house.gov/,2443 Rayburn House Office Building(202) 225-2726,Democratic
 Senator Robert P. Casey Jr.,Pennsylvania,,Senate: 110th-116th (2007-Present),http://www.casey.senate.gov/,393 Russell Senate Office Building Washington DC 20510(202) 224-6324,Democratic
 Senator Bill Cassidy,Louisiana,--,Senate: 114th-116th (2015-Present),http://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510(202) 224-5824,Republican
 Representative Sean Casten,Illinois,6,House: 116th (2019-Present),https://casten.house.gov,429 Cannon House Office Building(202) 225-4561,Democratic
 Representative Kathy Castor,Florida,14,House: 113th-116th (2013-Present),https://castor.house.gov/,2052 Rayburn House Office Building(202) 225-3376,Democratic
 Representative Joaquin Castro,Texas,20,House: 113th-116th (2013-Present),https://castro.house.gov,2241 Rayburn House Office Building(202) 225-3236,Democratic
 Representative Steve Chabot,Ohio,1,House: 112th-116th (2011-Present),https://chabot.house.gov/,2408 Rayburn House Office Building(202) 225-2216,Republican
 Representative Liz Cheney,Wyoming,At Large,House: 115th-116th (2017-Present),https://cheney.house.gov,416 Cannon House Office Building(202) 225-2311,Republican
 Representative Judy Chu,California,27,House: 113th-116th (2013-Present),https://chu.house.gov/,2423 Rayburn House Office Building(202) 225-5464,Democratic
 Representative David N. Cicilline,Rhode Island,1,House: 112th-116th (2011-Present),https://cicilline.house.gov/,2233 Rayburn House Office Building(202) 225-4911,Democratic
" Representative Gilbert Ray Cisneros, Jr.",California,39,House: 116th (2019-Present),https://cisneros.house.gov/,431 Cannon House Office Building(202) 225-4111,Democratic
 Representative Katherine M. Clark,Massachusetts,5,House: 113th-116th (2013-Present),https://katherineclark.house.gov/index.cfm/home,2448 Rayburn House Office Building(202) 225-2836,Democratic
 Representative Yvette D. Clarke,New York,9,House: 113th-116th (2013-Present),https://clarke.house.gov/,2058 Rayburn House Office Building(202) 225-6231,Democratic
 Representative Wm. Lacy Clay,Missouri,1,House: 107th-116th (2001-Present),https://lacyclay.house.gov,2428 Rayburn House Office Building(202) 225-2406,Democratic
 Representative Emanuel Cleaver,Missouri,5,House: 109th-116th (2005-Present),https://cleaver.house.gov,2335 Rayburn House Office Building(202) 225-4535,Democratic
 Representative Ben Cline,Virginia,6,House: 116th (2019-Present),https://cline.house.gov,1009 Longworth House Office Building(202) 225-5431,Republican
 Representative Michael Cloud,Texas,27,House: 115th-116th (2018-Present),https://cloud.house.gov,1314 Longworth House Office Building(202) 225-7742,Republican
 Representative James E. Clyburn,South Carolina,6,House: 103rd-116th (1993-Present),https://clyburn.house.gov/,200 Cannon House Office Building(202) 225-3315,Democratic
 Representative Steve Cohen,Tennessee,9,House: 110th-116th (2007-Present),https://cohen.house.gov/,2104 Rayburn House Office Building(202) 225-3265,Democratic
 Representative Tom Cole,Oklahoma,4,House: 108th-116th (2003-Present),https://cole.house.gov,2207 Rayburn House Office Building(202) 225-6165,Republican
 Representative Chris Collins,New York,27,House: 113th-116th (2013-Present),https://chriscollins.house.gov,2243 Rayburn House Office Building(202) 225-5265,Republican
 Representative Doug Collins,Georgia,9,House: 113th-116th (2013-Present),https://dougcollins.house.gov,1504 Longworth House Office Building(202) 225-9893,Republican
 Senator Susan M. Collins,Maine,,Senate: 105th-116th (1997-Present),http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510(202) 224-2523,Republican
 Representative James Comer,Kentucky,1,House: 114th-116th (2016-Present),https://comer.house.gov/,1037 Longworth House Office Building(202) 225-3115,Republican
 Representative K. Michael Conaway,Texas,11,House: 109th-116th (2005-Present),https://conaway.house.gov/,2469 Rayburn House Office Building(202) 225-3605,Republican
 Representative Gerald E. Connolly,Virginia,11,House: 111th-116th (2009-Present),https://connolly.house.gov/,2238 Rayburn House Office Building(202) 225-1492,Democratic
 Representative Paul Cook,California,8,House: 113th-116th (2013-Present),https://cook.house.gov,1027 Longworth House Office Building(202) 225-5861,Republican
 Senator Christopher A. Coons,Delaware,,Senate: 111th-116th (2010-Present),http://www.coons.senate.gov/,218 Russell Senate Office Building Washington DC 20510(202) 224-5042,Democratic
 Representative Jim Cooper,Tennessee,5,House: 108th-116th (2003-Present),https://cooper.house.gov/,1536 Longworth House Office Building(202) 225-4311,Democratic
 Senator John Cornyn,Texas,,Senate: 107th-116th (2002-Present),http://www.cornyn.senate.gov/,"517 Hart Senate Office Building Washington DC 20510
        (202) 224-2934",Republican
 Representative J. Luis Correa,California,46,House: 115th-116th (2017-Present),https://correa.house.gov,1039 Longworth House Office Building(202) 225-2965,Democratic
 Senator Catherine  Cortez Masto,Nevada,,Senate: 115th-116th (2017-Present),http://www.cortezmasto.senate.gov,516 Hart Senate Office Building Washington DC 20510(202) 224-3542,Democratic
 Representative Jim Costa,California,16,House: 113th-116th (2013-Present),https://costa.house.gov/,2081 Rayburn House Office Building(202) 225-3341,Democratic
 Senator Tom Cotton,Arkansas,--,Senate: 114th-116th (2015-Present),http://www.cotton.senate.gov,"326 Russell Senate Office Building Washington DC 20510
        (202) 224-2353",Republican
 Representative Joe Courtney,Connecticut,2,House: 110th-116th (2007-Present),https://courtney.house.gov/,2332 Rayburn House Office Building(202) 225-2076,Democratic
 Representative TJ Cox,California,21,House: 116th (2019-Present),https://cox.house.gov,1728 Longworth House Office Building(202) 225-4695,Democratic
 Representative Angie Craig,Minnesota,2,House: 116th (2019-Present),https://craig.house.gov,1523 Longworth House Office Building(202) 225-2271,Democratic
 Senator Kevin Cramer,North Dakota,--,Senate: 116th (2019-Present),https://www.cramer.senate.gov,400 Russell Senate Office Building Washington DC 20510(202) 224-2043,Republican
 Senator Mike Crapo,Idaho,--,Senate: 106th-116th (1999-Present),http://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510(202) 224-6142,Republican
" Representative Eric A. ""Rick"" Crawford",Arkansas,1,House: 112th-116th (2011-Present),https://crawford.house.gov/,2422 Rayburn House Office Building(202) 225-4076,Republican
 Representative Dan Crenshaw,Texas,2,House: 116th (2019-Present),https://crenshaw.house.gov/,413 Cannon House Office Building(202) 225-6565,Republican
 Representative Charlie Crist,Florida,13,House: 115th-116th (2017-Present),https://crist.house.gov,215 Cannon House Office Building(202) 225-5961,Democratic
 Representative Jason Crow,Colorado,6,House: 116th (2019-Present),https://crow.house.gov/,1229 Longworth House Office Building(202) 225-7882,Democratic
 Senator Ted  Cruz,Texas,,Senate: 113th-116th (2013-Present),http://www.cruz.senate.gov,404 Russell Senate Office Building Washington DC 20510(202) 224-5922,Republican
 Representative Henry Cuellar,Texas,28,House: 109th-116th (2005-Present),https://cuellar.house.gov/,2372 Rayburn House Office Building(202) 225-1640,Democratic
 Representative Elijah E. Cummings,Maryland,7,House: 104th-116th (1995-Present),https://cummings.house.gov,2163 Rayburn House Office Building(202) 225-4741,Democratic
 Representative Joe Cunningham,South Carolina,1,House: 116th (2019-Present),https://cunningham.house.gov/,423 Cannon House Office Building(202) 225-3176,Democratic
 Representative John R. Curtis,Utah,3,House: 115th-116th (2017-Present),https://curtis.house.gov/,125 Cannon House Office Building(202) 225-7751,Republican
 Senator Steve Daines,Montana,--,Senate: 114th-116th (2015-Present),http://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510(202) 224-2651,Republican
 Representative Sharice Davids,Kansas,3,House: 116th (2019-Present),https://davids.house.gov/,1541 Longworth House Office Building(202) 225-2865,Democratic
 Representative Warren Davidson,Ohio,8,House: 114th-116th (2016-Present),https://davidson.house.gov/,1107 Longworth House Office Building(202) 225-6205,Republican
 Representative Danny K. Davis,Illinois,7,House: 105th-116th (1997-Present),https://davis.house.gov,2159 Rayburn House Office Building(202) 225-5006,Democratic
 Representative Rodney Davis,Illinois,13,House: 113th-116th (2013-Present),https://rodneydavis.house.gov,1740 Longworth House Office Building(202) 225-2371,Republican
 Representative Susan A. Davis,California,53,House: 108th-116th (2003-Present),https://susandavis.house.gov/,1214 Longworth House Office Building(202) 225-2040,Democratic
 Representative Madeleine Dean,Pennsylvania,4,House: 116th (2019-Present),https://dean.house.gov,129 Cannon House Office Building(202) 225-4731,Democratic
 Representative Peter A. DeFazio,Oregon,4,House: 100th-116th (1987-Present),https://defazio.house.gov/,2134 Rayburn House Office Building(202) 225-6416,Democratic
 Representative Diana DeGette,Colorado,1,House: 105th-116th (1997-Present),https://degette.house.gov,2111 Rayburn House Office Building(202) 225-4431,Democratic
 Representative Rosa L. DeLauro,Connecticut,3,House: 102nd-116th (1991-Present),https://delauro.house.gov/,2413 Rayburn House Office Building(202) 225-3661,Democratic
 Representative Suzan K. DelBene,Washington,1,House: 112th-116th (2012-Present),https://delbene.house.gov,2330 Rayburn House Office Building(202) 225-6311,Democratic
 Representative Antonio Delgado,New York,19,House: 116th (2019-Present),https://delgado.house.gov,1007 Longworth House Office Building(202) 225-5614,Democratic
 Representative Val Butler Demings,Florida,10,House: 115th-116th (2017-Present),https://demings.house.gov,217 Cannon House Office Building(202) 225-2176,Democratic
 Representative Mark DeSaulnier,California,11,House: 114th-116th (2015-Present),https://desaulnier.house.gov/,503 Cannon House Office Building(202) 225-2095,Democratic
 Representative Scott DesJarlais,Tennessee,4,House: 112th-116th (2011-Present),https://desjarlais.house.gov/,2301 Rayburn House Office Building(202) 225-6831,Republican
 Representative Theodore E. Deutch,Florida,22,House: 115th-116th (2017-Present),https://teddeutch.house.gov/,2447 Rayburn House Office Building(202) 225-3001,Democratic
 Representative Mario Diaz-Balart,Florida,25,House: 113th-116th (2013-Present),https://mariodiazbalart.house.gov/,404 Cannon House Office Building(202) 225-4211,Republican
 Representative Debbie Dingell,Michigan,12,House: 114th-116th (2015-Present),https://debbiedingell.house.gov/,116 Cannon House Office Building(202) 225-4071,Democratic
 Representative Lloyd Doggett,Texas,35,House: 113th-116th (2013-Present),https://doggett.house.gov,2307 Rayburn House Office Building(202) 225-4865,Democratic
 Representative Michael F. Doyle,Pennsylvania,18,House: 116th (2019-Present),https://doyle.house.gov,306 Cannon House Office Building(202) 225-2135,Democratic
 Senator Tammy Duckworth,Illinois,--,Senate: 115th-116th (2017-Present),http://www.duckworth.senate.gov,524 Hart Senate Office Building Washington DC 20510(202) 224-2854,Democratic
 Representative Sean P. Duffy,Wisconsin,7,House: 112th-116th (2011-Present),https://duffy.house.gov/,1714 Longworth House Office Building(202) 225-3365,Republican
 Representative Jeff Duncan,South Carolina,3,House: 112th-116th (2011-Present),https://jeffduncan.house.gov/,2229 Rayburn House Office Building(202) 225-5301,Republican
 Representative Neal P. Dunn,Florida,2,House: 115th-116th (2017-Present),https://dunn.house.gov,316 Cannon House Office Building(202) 225-5235,Republican
 Senator Richard J. Durbin,Illinois,--,Senate: 105th-116th (1997-Present),http://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510(202) 224-2152,Democratic
 Representative Tom Emmer,Minnesota,6,House: 114th-116th (2015-Present),https://emmer.house.gov/,315 Cannon House Office Building(202) 225-2331,Republican
 Representative Eliot L. Engel,New York,16,House: 113th-116th (2013-Present),https://engel.house.gov,2426 Rayburn House Office Building(202) 225-2464,Democratic
 Senator Michael B. Enzi,Wyoming,,Senate: 105th-116th (1997-Present),http://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510(202) 224-3424,Republican
 Senator Joni  Ernst,Iowa,,Senate: 114th-116th (2015-Present),http://www.ernst.senate.gov,730 Hart Senate Office Building Washington DC 20510(202) 224-3254,Republican
 Representative Veronica Escobar,Texas,16,House: 116th (2019-Present),https://escobar.house.gov,1505 Longworth House Office Building(202) 225-4831,Democratic
 Representative Anna G. Eshoo,California,18,House: 113th-116th (2013-Present),https://eshoo.house.gov/,202 Cannon House Office Building(202) 225-8104,Democratic
 Representative Adriano Espaillat,New York,13,House: 115th-116th (2017-Present),https://espaillat.house.gov,1630 Longworth House Office Building(202) 225-4365,Democratic
 Representative Ron Estes,Kansas,4,House: 115th-116th (2017-Present),https://estes.house.gov/,1524 Longworth House Office Building(202) 225-6216,Republican
 Representative Dwight Evans,Pennsylvania,3,House: 116th (2019-Present),https://evans.house.gov/,1105 Longworth House Office Building(202) 225-4001,Democratic
 Senator Dianne Feinstein,California,,Senate: 102nd-116th (1992-Present),http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510(202) 224-3841,Democratic
 Representative A. Drew Ferguson IV,Georgia,3,House: 115th-116th (2017-Present),https://ferguson.house.gov,1032 Longworth House Office Building(202) 225-5901,Republican
 Representative Abby Finkenauer,Iowa,1,House: 116th (2019-Present),https://finkenauer.house.gov/,124 Cannon House Office Building(202) 225-2911,Democratic
 Senator Deb  Fischer,Nebraska,,Senate: 113th-116th (2013-Present),http://www.fischer.senate.gov,454 Russell Senate Office Building Washington DC 20510(202) 224-6551,Republican
 Representative Brian K. Fitzpatrick,Pennsylvania,1,House: 116th (2019-Present),https://fitzpatrick.house.gov/,1722 Longworth House Office Building(202) 225-4276,Republican
" Representative Charles J. ""Chuck"" Fleischmann",Tennessee,3,House: 112th-116th (2011-Present),https://fleischmann.house.gov/,2410 Rayburn House Office Building(202) 225-3271,Republican
 Representative Lizzie Fletcher,Texas,7,House: 116th (2019-Present),https://fletcher.house.gov,1429 Longworth House Office Building(202) 225-2571,Democratic
 Representative Bill Flores,Texas,17,House: 112th-116th (2011-Present),https://flores.house.gov/,2228 Rayburn House Office Building(202) 225-6105,Republican
 Representative Jeff Fortenberry,Nebraska,1,House: 109th-116th (2005-Present),https://fortenberry.house.gov/,1514 Longworth House Office Building(202) 225-4806,Republican
 Representative Bill Foster,Illinois,11,House: 113th-116th (2013-Present),https://foster.house.gov,2366 Rayburn House Office Building(202) 225-3515,Democratic
 Representative Virginia Foxx,North Carolina,5,House: 109th-116th (2005-Present),https://foxx.house.gov/,2462 Rayburn House Office Building(202) 225-2071,Republican
 Representative Lois Frankel,Florida,21,House: 115th-116th (2017-Present),https://frankel.house.gov,2305 Rayburn House Office Building(202) 225-9890,Democratic
 Representative Marcia L. Fudge,Ohio,11,House: 110th-116th (2008-Present),https://fudge.house.gov/,2344 Rayburn House Office Building(202) 225-7032,Democratic
 Representative Russ Fulcher,Idaho,1,House: 116th (2019-Present),https://fulcher.house.gov/,1520 Longworth House Office Building(202) 225-6611,Republican
 Representative Tulsi Gabbard,Hawaii,2,House: 113th-116th (2013-Present),https://gabbard.house.gov,1433 Longworth House Office Building(202) 225-4906,Democratic
 Representative Matt Gaetz,Florida,1,House: 115th-116th (2017-Present),https://gaetz.house.gov,1721 Longworth House Office Building(202) 225-4136,Republican
 Representative Mike Gallagher,Wisconsin,8,House: 115th-116th (2017-Present),https://gallagher.house.gov,1230 Longworth House Office Building(202) 225-5665,Republican
 Representative Ruben Gallego,Arizona,7,House: 114th-116th (2015-Present),https://rubengallego.house.gov/,1131 Longworth House Office Building(202) 225-4065,Democratic
 Representative John Garamendi,California,3,House: 113th-116th (2013-Present),https://garamendi.house.gov/,2368 Rayburn House Office Building(202) 225-1880,Democratic
" Representative Jesus G. ""Chuy"" Garcia",Illinois,4,House: 116th (2019-Present),https://chuygarcia.house.gov/,530 Cannon House Office Building(202) 225-8203,Democratic
 Representative Sylvia R. Garcia,Texas,29,House: 116th (2019-Present),https://sylviagarcia.house.gov/,1620 Longworth House Office Building(202) 225-1688,Democratic
 Senator Cory Gardner,Colorado,--,Senate: 114th-116th (2015-Present),http://www.gardner.senate.gov,354 Russell Senate Office Building Washington DC 20510(202) 224-5941,Republican
 Representative Greg Gianforte,Montana,At Large,House: 115th-116th (2017-Present),https://gianforte.house.gov,1222 Longworth House Office Building(202) 225-3211,Republican
 Representative Bob Gibbs,Ohio,7,House: 113th-116th (2013-Present),https://gibbs.house.gov/,2446 Rayburn House Office Building(202) 225-6265,Republican
 Senator Kirsten E. Gillibrand,New York,--,Senate: 111th-116th (2009-Present),http://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510(202) 224-4451,Democratic
 Representative Louie Gohmert,Texas,1,House: 109th-116th (2005-Present),https://gohmert.house.gov/,2267 Rayburn House Office Building(202) 225-3035,Republican
 Representative Jared F. Golden,Maine,2,House: 116th (2019-Present),https://golden.house.gov,1223 Longworth House Office Building(202) 225-6306,Democratic
 Representative Jimmy Gomez,California,34,House: 115th-116th (2017-Present),https://gomez.house.gov/,1530 Longworth House Office Building(202) 225-6235,Democratic
 Representative Anthony Gonzalez,Ohio,16,House: 116th (2019-Present),https://anthonygonzalez.house.gov,1023 Longworth House Office Building(202) 225-3876,Republican
 Representative Vicente Gonzalez,Texas,15,House: 115th-116th (2017-Present),https://gonzalez.house.gov,113 Cannon House Office Building(202) 225-2531,Democratic
 Representative Jenniffer Gonzalez-Colon,Puerto Rico,At Large,House: 115th-116th (2017-Present),https://gonzalez-colon.house.gov,1609 Longworth House Office Building(202) 225-2615,Republican
 Representative Lance Gooden,Texas,5,House: 116th (2019-Present),https://gooden.house.gov,425 Cannon House Office Building(202) 225-3484,Republican
 Representative Paul A. Gosar,Arizona,4,House: 113th-116th (2013-Present),https://gosar.house.gov/,2057 Rayburn House Office Building(202) 225-2315,Republican
 Representative Josh Gottheimer,New Jersey,5,House: 115th-116th (2017-Present),https://gottheimer.house.gov,213 Cannon House Office Building(202) 225-4465,Democratic
