name, state, district, office_time, website, contact, party,id
 Representative Troy Balderson,Ohio,12,House: 115th-116th (2018-Present),https://balderson.house.gov,"1221 Longworth House Office Building, (202) 225-5355",Republican,16
 Senator Tammy Baldwin,Wisconsin,None,Senate: 113th-116th (2013-Present),http://www.baldwin.senate.gov/,"709 Hart Senate Office Building Washington DC 20510, (202) 224-5653",Democratic,17
 Representative Jim Banks,Indiana,3,House: 115th-116th (2017-Present),https://banks.house.gov,"1713 Longworth House Office Building, (202) 225-4436",Republican,18
 Representative Andy Barr,Kentucky,6,House: 113th-116th (2013-Present),https://barr.house.gov/,"2430 Rayburn House Office Building, (202) 225-4706",Republican,19
 Representative Nanette Diaz Barragan,California,44,House: 115th-116th (2017-Present),https://barragan.house.gov,"1030 Longworth House Office Building, (202) 225-8220",Democratic,20
 Senator John  Barrasso,Wyoming,None,Senate: 110th-116th (2007-Present),http://www.barrasso.senate.gov,"307 Dirksen Senate Office Building Washington DC 20510, (202) 224-6441",Republican,21
 Representative Karen Bass,California,37,House: 113th-116th (2013-Present),https://bass.house.gov/,"2059 Rayburn House Office Building, (202) 225-7084",Democratic,22
 Representative Joyce Beatty,Ohio,3,House: 113th-116th (2013-Present),https://beatty.house.gov,"2303 Rayburn House Office Building, (202) 225-4324",Democratic,23
 Senator Michael F. Bennet,Colorado,None,Senate: 111th-116th (2009-Present),http://www.bennet.senate.gov,"261 Russell Senate Office Building Washington DC 20510, (202) 224-5852",Democratic,24
 Representative Ami Bera,California,7,House: 113th-116th (2013-Present),https://bera.house.gov,"1727 Longworth House Office Building, (202) 225-5716",Democratic,25
 Representative Jack Bergman,Michigan,1,House: 115th-116th (2017-Present),https://bergman.house.gov,"414 Cannon House Office Building, (202) 225-4735",Republican,26
" Representative Donald S. Beyer, Jr.",Virginia,8,House: 114th-116th (2015-Present),https://beyer.house.gov,"1119 Longworth House Office Building, (202) 225-4376",Democratic,27
 Representative Andy Biggs,Arizona,5,House: 115th-116th (2017-Present),https://biggs.house.gov,"1318 Longworth House Office Building, (202) 225-2635",Republican,28
 Representative Gus M. Bilirakis,Florida,12,House: 113th-116th (2013-Present),https://bilirakis.house.gov/,"2227 Rayburn House Office Building, (202) 225-5755",Republican,29
 Representative Rob Bishop,Utah,1,House: 108th-116th (2003-Present),https://robbishop.house.gov,"123 Cannon House Office Building, (202) 225-0453",Republican,30
" Representative Sanford D. Bishop, Jr.",Georgia,2,House: 103rd-116th (1993-Present),https://bishop.house.gov/,"2407 Rayburn House Office Building, (202) 225-3631",Democratic,31
 Senator Marsha Blackburn,Tennessee,None,Senate: 116th (2019-Present),https://www.blackburn.senate.gov,"357 Dirksen Senate Office Building Washington DC 20510, (202) 224-3344",Republican,32
 Representative Earl Blumenauer,Oregon,3,House: 104th-116th (1995-Present),https://blumenauer.house.gov/,"1111 Longworth House Office Building, (202) 225-4811",Democratic,33
 Senator Richard  Blumenthal,Connecticut,None,Senate: 112th-116th (2011-Present),http://www.blumenthal.senate.gov,"706 Hart Senate Office Building Washington DC 20510, (202) 224-2823",Democratic,34
 Representative Lisa Blunt Rochester,Delaware,At Large,House: 115th-116th (2017-Present),https://bluntrochester.house.gov,"1519 Longworth House Office Building, (202) 225-4165",Democratic,35
 Senator Roy Blunt,Missouri,None,Senate: 112th-116th (2011-Present),http://www.blunt.senate.gov,"260 Russell Senate Office Building Washington DC 20510, (202) 224-5721",Republican,36
 Representative Suzanne Bonamici,Oregon,1,House: 112th-116th (2012-Present),https://bonamici.house.gov,"2231 Rayburn House Office Building, (202) 225-0855",Democratic,37
 Senator Cory A. Booker,New Jersey,None,Senate: 113th-116th (2013-Present),http://www.booker.senate.gov,"717 Hart Senate Office Building Washington DC 20510, (202) 224-3224",Democratic,38
 Senator John Boozman,Arkansas,None,Senate: 112th-116th (2011-Present),http://www.boozman.senate.gov/,"141 Hart Senate Office Building Washington DC 20510, (202) 224-4843",Republican,39
 Representative Mike Bost,Illinois,12,House: 114th-116th (2015-Present),https://bost.house.gov/,"1440 Longworth House Office Building, (202) 225-5661",Republican,40
 Representative Brendan F. Boyle,Pennsylvania,2,House: 116th (2019-Present),https://boyle.house.gov/,"1133 Longworth House Office Building, (202) 225-6111",Democratic,41
 Representative Kevin Brady,Texas,8,House: 105th-116th (1997-Present),https://kevinbrady.house.gov/,"1011 Longworth House Office Building, (202) 225-4901",Republican,42
 Senator Mike  Braun,Indiana,None,Senate: 116th (2019-Present),https://www.braun.senate.gov,"374 Russell Senate Office Building Washington DC 20510, (202) 224-4814",Republican,43
 Representative Anthony Brindisi,New York,22,House: 116th (2019-Present),https://brindisi.house.gov,"329 Cannon House Office Building, (202) 225-3665",Democratic,44
 Representative Mo Brooks,Alabama,5,House: 112th-116th (2011-Present),https://brooks.house.gov/,"2246 Rayburn House Office Building, (202) 225-4801",Republican,45
 Representative Susan W. Brooks,Indiana,5,House: 113th-116th (2013-Present),https://susanwbrooks.house.gov,"2211 Rayburn House Office Building, (202) 225-2276",Republican,46
 Representative Anthony G. Brown,Maryland,4,House: 115th-116th (2017-Present),https://anthonybrown.house.gov,"1323 Longworth House Office Building, (202) 225-8699",Democratic,47
 Senator Sherrod Brown,Ohio,None,Senate: 110th-116th (2007-Present),http://www.brown.senate.gov/,"503 Hart Senate Office Building Washington DC 20510, (202) 224-2315",Democratic,48
 Representative Julia Brownley,California,26,House: 113th-116th (2013-Present),https://juliabrownley.house.gov,"2262 Rayburn House Office Building, (202) 225-5811",Democratic,49
 Representative Vern Buchanan,Florida,16,House: 113th-116th (2013-Present),https://buchanan.house.gov/,"2427 Rayburn House Office Building, (202) 225-5015",Republican,50
 Representative Ken Buck,Colorado,4,House: 114th-116th (2015-Present),https://buck.house.gov/,"2455 Rayburn House Office Building, (202) 225-4676",Republican,51
 Representative Larry Bucshon,Indiana,8,House: 112th-116th (2011-Present),https://bucshon.house.gov/,"2313 Rayburn House Office Building, (202) 225-4636",Republican,52
 Representative Ted Budd,North Carolina,13,House: 115th-116th (2017-Present),https://budd.house.gov,"118 Cannon House Office Building, (202) 225-4531",Republican,53
 Representative Tim Burchett,Tennessee,2,House: 116th (2019-Present),https://burchett.house.gov,"1122 Longworth House Office Building, (202) 225-5435",Republican,54
 Representative Michael C. Burgess,Texas,26,House: 108th-116th (2003-Present),https://burgess.house.gov/,"2161 Rayburn House Office Building, (202) 225-7772",Republican,55
 Senator Richard Burr,North Carolina,None,Senate: 109th-116th (2005-Present),http://www.burr.senate.gov,"217 Russell Senate Office Building Washington DC 20510, (202) 224-3154",Republican,56
 Representative Cheri Bustos,Illinois,17,House: 113th-116th (2013-Present),https://bustos.house.gov,"1233 Longworth House Office Building, (202) 225-5905",Democratic,57
 Representative G. K. Butterfield,North Carolina,1,House: 108th-116th (2004-Present),https://butterfield.house.gov,"2080 Rayburn House Office Building, (202) 225-3101",Democratic,58
 Representative Bradley Byrne,Alabama,1,House: 113th-116th (2014-Present),https://byrne.house.gov/,"119 Cannon House Office Building, (202) 225-4931",Republican,59
 Representative Ken Calvert,California,42,House: 113th-116th (2013-Present),https://calvert.house.gov/,"2205 Rayburn House Office Building, (202) 225-1986",Republican,60
 Senator Maria Cantwell,Washington,None,Senate: 107th-116th (2001-Present),http://www.cantwell.senate.gov,"511 Hart Senate Office Building Washington DC 20510, (202) 224-3441",Democratic,61
 Senator Shelley Moore Capito,West Virginia,None,Senate: 114th-116th (2015-Present),http://www.capito.senate.gov,"172 Russell Senate Office Building Washington DC 20510, (202) 224-6472",Republican,62
 Representative Salud O. Carbajal,California,24,House: 115th-116th (2017-Present),https://carbajal.house.gov,"1431 Longworth House Office Building, (202) 225-3601",Democratic,63
 Representative Tony Cardenas,California,29,House: 113th-116th (2013-Present),https://cardenas.house.gov,"2438 Rayburn House Office Building, (202) 225-6131",Democratic,64
 Senator Benjamin L. Cardin,Maryland,None,Senate: 110th-116th (2007-Present),http://www.cardin.senate.gov/,"509 Hart Senate Office Building Washington DC 20510, (202) 224-4524",Democratic,65
 Senator Thomas R. Carper,Delaware,None,Senate: 107th-116th (2001-Present),http://www.carper.senate.gov,"513 Hart Senate Office Building Washington DC 20510, (202) 224-2441",Democratic,66
 Representative Andre Carson,Indiana,7,House: 110th-116th (2008-Present),https://carson.house.gov/,"2135 Rayburn House Office Building, (202) 225-4011",Democratic,67
" Representative Earl L. ""Buddy"" Carter",Georgia,1,House: 114th-116th (2015-Present),https://buddycarter.house.gov/,"2432 Rayburn House Office Building, (202) 225-5831",Republican,68
 Representative John R. Carter,Texas,31,House: 108th-116th (2003-Present),https://carter.house.gov/,"2110 Rayburn House Office Building, (202) 225-3864",Republican,69
 Representative Matt Cartwright,Pennsylvania,8,House: 116th (2019-Present),https://cartwright.house.gov,"1034 Longworth House Office Building, (202) 225-5546",Democratic,70
 Representative Ed Case,Hawaii,1,House: 116th (2019-Present),https://case.house.gov/,"2443 Rayburn House Office Building, (202) 225-2726",Democratic,71
 Senator Robert P. Casey Jr.,Pennsylvania,None,Senate: 110th-116th (2007-Present),http://www.casey.senate.gov/,"393 Russell Senate Office Building Washington DC 20510, (202) 224-6324",Democratic,72
 Senator Bill Cassidy,Louisiana,None,Senate: 114th-116th (2015-Present),http://www.cassidy.senate.gov,"520 Hart Senate Office Building Washington DC 20510, (202) 224-5824",Republican,73
 Representative Sean Casten,Illinois,6,House: 116th (2019-Present),https://casten.house.gov,"429 Cannon House Office Building, (202) 225-4561",Democratic,74
 Representative Kathy Castor,Florida,14,House: 113th-116th (2013-Present),https://castor.house.gov/,"2052 Rayburn House Office Building, (202) 225-3376",Democratic,75
 Representative Joaquin Castro,Texas,20,House: 113th-116th (2013-Present),https://castro.house.gov,"2241 Rayburn House Office Building, (202) 225-3236",Democratic,76
 Representative Steve Chabot,Ohio,1,House: 112th-116th (2011-Present),https://chabot.house.gov/,"2408 Rayburn House Office Building, (202) 225-2216",Republican,77
 Representative Liz Cheney,Wyoming,At Large,House: 115th-116th (2017-Present),https://cheney.house.gov,"416 Cannon House Office Building, (202) 225-2311",Republican,78
 Representative Judy Chu,California,27,House: 113th-116th (2013-Present),https://chu.house.gov/,"2423 Rayburn House Office Building, (202) 225-5464",Democratic,79
 Representative David N. Cicilline,Rhode Island,1,House: 112th-116th (2011-Present),https://cicilline.house.gov/,"2233 Rayburn House Office Building, (202) 225-4911",Democratic,80
" Representative Gilbert Ray Cisneros, Jr.",California,39,House: 116th (2019-Present),https://cisneros.house.gov/,"431 Cannon House Office Building, (202) 225-4111",Democratic,81
 Representative Katherine M. Clark,Massachusetts,5,House: 113th-116th (2013-Present),https://katherineclark.house.gov/index.cfm/home,"2448 Rayburn House Office Building, (202) 225-2836",Democratic,82
 Representative Yvette D. Clarke,New York,9,House: 113th-116th (2013-Present),https://clarke.house.gov/,"2058 Rayburn House Office Building, (202) 225-6231",Democratic,83
 Representative Wm. Lacy Clay,Missouri,1,House: 107th-116th (2001-Present),https://lacyclay.house.gov,"2428 Rayburn House Office Building, (202) 225-2406",Democratic,84
 Representative Emanuel Cleaver,Missouri,5,House: 109th-116th (2005-Present),https://cleaver.house.gov,"2335 Rayburn House Office Building, (202) 225-4535",Democratic,85
 Representative Ben Cline,Virginia,6,House: 116th (2019-Present),https://cline.house.gov,"1009 Longworth House Office Building, (202) 225-5431",Republican,86
 Representative Michael Cloud,Texas,27,House: 115th-116th (2018-Present),https://cloud.house.gov,"1314 Longworth House Office Building, (202) 225-7742",Republican,87
 Representative James E. Clyburn,South Carolina,6,House: 103rd-116th (1993-Present),https://clyburn.house.gov/,"200 Cannon House Office Building, (202) 225-3315",Democratic,88
 Representative Steve Cohen,Tennessee,9,House: 110th-116th (2007-Present),https://cohen.house.gov/,"2104 Rayburn House Office Building, (202) 225-3265",Democratic,89
 Representative Tom Cole,Oklahoma,4,House: 108th-116th (2003-Present),https://cole.house.gov,"2207 Rayburn House Office Building, (202) 225-6165",Republican,90
 Representative Chris Collins,New York,27,House: 113th-116th (2013-Present),https://chriscollins.house.gov,"2243 Rayburn House Office Building, (202) 225-5265",Republican,91
 Representative Doug Collins,Georgia,9,House: 113th-116th (2013-Present),https://dougcollins.house.gov,"1504 Longworth House Office Building, (202) 225-9893",Republican,92
 Senator Susan M. Collins,Maine,None,Senate: 105th-116th (1997-Present),http://www.collins.senate.gov,"413 Dirksen Senate Office Building Washington DC 20510, (202) 224-2523",Republican,93
 Representative James Comer,Kentucky,1,House: 114th-116th (2016-Present),https://comer.house.gov/,"1037 Longworth House Office Building, (202) 225-3115",Republican,94
 Representative K. Michael Conaway,Texas,11,House: 109th-116th (2005-Present),https://conaway.house.gov/,"2469 Rayburn House Office Building, (202) 225-3605",Republican,95
 Representative Gerald E. Connolly,Virginia,11,House: 111th-116th (2009-Present),https://connolly.house.gov/,"2238 Rayburn House Office Building, (202) 225-1492",Democratic,96
 Representative Paul Cook,California,8,House: 113th-116th (2013-Present),https://cook.house.gov,"1027 Longworth House Office Building, (202) 225-5861",Republican,97
 Senator Christopher A. Coons,Delaware,None,Senate: 111th-116th (2010-Present),http://www.coons.senate.gov/,"218 Russell Senate Office Building Washington DC 20510, (202) 224-5042",Democratic,98
 Representative Jim Cooper,Tennessee,5,House: 108th-116th (2003-Present),https://cooper.house.gov/,"1536 Longworth House Office Building, (202) 225-4311",Democratic,99
 Senator John Cornyn,Texas,None,Senate: 107th-116th (2002-Present),http://www.cornyn.senate.gov/,"517 Hart Senate Office Building Washington DC 20510, (202) 224-2934",Republican,100
 Representative J. Luis Correa,California,46,House: 115th-116th (2017-Present),https://correa.house.gov,"1039 Longworth House Office Building, (202) 225-2965",Democratic,101
 Senator Catherine  Cortez Masto,Nevada,None,Senate: 115th-116th (2017-Present),http://www.cortezmasto.senate.gov,"516 Hart Senate Office Building Washington DC 20510, (202) 224-3542",Democratic,102
 Representative Jim Costa,California,16,House: 113th-116th (2013-Present),https://costa.house.gov/,"2081 Rayburn House Office Building, (202) 225-3341",Democratic,103
 Senator Tom Cotton,Arkansas,None,Senate: 114th-116th (2015-Present),http://www.cotton.senate.gov,"326 Russell Senate Office Building Washington DC 20510, (202) 224-2353",Republican,104
 Representative Joe Courtney,Connecticut,2,House: 110th-116th (2007-Present),https://courtney.house.gov/,"2332 Rayburn House Office Building, (202) 225-2076",Democratic,105
 Representative TJ Cox,California,21,House: 116th (2019-Present),https://cox.house.gov,"1728 Longworth House Office Building, (202) 225-4695",Democratic,106
 Representative Angie Craig,Minnesota,2,House: 116th (2019-Present),https://craig.house.gov,"1523 Longworth House Office Building, (202) 225-2271",Democratic,107
 Senator Kevin Cramer,North Dakota,None,Senate: 116th (2019-Present),https://www.cramer.senate.gov,"400 Russell Senate Office Building Washington DC 20510, (202) 224-2043",Republican,108
 Senator Mike Crapo,Idaho,None,Senate: 106th-116th (1999-Present),http://www.crapo.senate.gov,"239 Dirksen Senate Office Building Washington DC 20510, (202) 224-6142",Republican,109
" Representative Eric A. ""Rick"" Crawford",Arkansas,1,House: 112th-116th (2011-Present),https://crawford.house.gov/,"2422 Rayburn House Office Building, (202) 225-4076",Republican,110
 Representative Dan Crenshaw,Texas,2,House: 116th (2019-Present),https://crenshaw.house.gov/,"413 Cannon House Office Building, (202) 225-6565",Republican,111
 Representative Charlie Crist,Florida,13,House: 115th-116th (2017-Present),https://crist.house.gov,"215 Cannon House Office Building, (202) 225-5961",Democratic,112
 Representative Jason Crow,Colorado,6,House: 116th (2019-Present),https://crow.house.gov/,"1229 Longworth House Office Building, (202) 225-7882",Democratic,113
 Senator Ted  Cruz,Texas,None,Senate: 113th-116th (2013-Present),http://www.cruz.senate.gov,"404 Russell Senate Office Building Washington DC 20510, (202) 224-5922",Republican,114
 Representative Henry Cuellar,Texas,28,House: 109th-116th (2005-Present),https://cuellar.house.gov/,"2372 Rayburn House Office Building, (202) 225-1640",Democratic,115
 Representative Elijah E. Cummings,Maryland,7,House: 104th-116th (1995-Present),https://cummings.house.gov,"2163 Rayburn House Office Building, (202) 225-4741",Democratic,116
 Representative Joe Cunningham,South Carolina,1,House: 116th (2019-Present),https://cunningham.house.gov/,"423 Cannon House Office Building, (202) 225-3176",Democratic,117
 Representative John R. Curtis,Utah,3,House: 115th-116th (2017-Present),https://curtis.house.gov/,"125 Cannon House Office Building, (202) 225-7751",Republican,118
 Senator Steve Daines,Montana,None,Senate: 114th-116th (2015-Present),http://www.daines.senate.gov,"320 Hart Senate Office Building Washington DC 20510, (202) 224-2651",Republican,119
 Representative Sharice Davids,Kansas,3,House: 116th (2019-Present),https://davids.house.gov/,"1541 Longworth House Office Building, (202) 225-2865",Democratic,120
 Representative Warren Davidson,Ohio,8,House: 114th-116th (2016-Present),https://davidson.house.gov/,"1107 Longworth House Office Building, (202) 225-6205",Republican,121
 Representative Danny K. Davis,Illinois,7,House: 105th-116th (1997-Present),https://davis.house.gov,"2159 Rayburn House Office Building, (202) 225-5006",Democratic,122
 Representative Rodney Davis,Illinois,13,House: 113th-116th (2013-Present),https://rodneydavis.house.gov,"1740 Longworth House Office Building, (202) 225-2371",Republican,123
 Representative Susan A. Davis,California,53,House: 108th-116th (2003-Present),https://susandavis.house.gov/,"1214 Longworth House Office Building, (202) 225-2040",Democratic,124
 Representative Madeleine Dean,Pennsylvania,4,House: 116th (2019-Present),https://dean.house.gov,"129 Cannon House Office Building, (202) 225-4731",Democratic,125
 Representative Peter A. DeFazio,Oregon,4,House: 100th-116th (1987-Present),https://defazio.house.gov/,"2134 Rayburn House Office Building, (202) 225-6416",Democratic,126
 Representative Diana DeGette,Colorado,1,House: 105th-116th (1997-Present),https://degette.house.gov,"2111 Rayburn House Office Building, (202) 225-4431",Democratic,127
 Representative Rosa L. DeLauro,Connecticut,3,House: 102nd-116th (1991-Present),https://delauro.house.gov/,"2413 Rayburn House Office Building, (202) 225-3661",Democratic,128
 Representative Suzan K. DelBene,Washington,1,House: 112th-116th (2012-Present),https://delbene.house.gov,"2330 Rayburn House Office Building, (202) 225-6311",Democratic,129
 Representative Antonio Delgado,New York,19,House: 116th (2019-Present),https://delgado.house.gov,"1007 Longworth House Office Building, (202) 225-5614",Democratic,130
 Representative Val Butler Demings,Florida,10,House: 115th-116th (2017-Present),https://demings.house.gov,"217 Cannon House Office Building, (202) 225-2176",Democratic,131
 Representative Mark DeSaulnier,California,11,House: 114th-116th (2015-Present),https://desaulnier.house.gov/,"503 Cannon House Office Building, (202) 225-2095",Democratic,132
 Representative Scott DesJarlais,Tennessee,4,House: 112th-116th (2011-Present),https://desjarlais.house.gov/,"2301 Rayburn House Office Building, (202) 225-6831",Republican,133
 Representative Theodore E. Deutch,Florida,22,House: 115th-116th (2017-Present),https://teddeutch.house.gov/,"2447 Rayburn House Office Building, (202) 225-3001",Democratic,134
 Representative Mario Diaz-Balart,Florida,25,House: 113th-116th (2013-Present),https://mariodiazbalart.house.gov/,"404 Cannon House Office Building, (202) 225-4211",Republican,135
 Representative Debbie Dingell,Michigan,12,House: 114th-116th (2015-Present),https://debbiedingell.house.gov/,116 Cannon House Office Building(202) 225-4071,Democratic,136
 Representative Lloyd Doggett,Texas,35,House: 113th-116th (2013-Present),https://doggett.house.gov,"2307 Rayburn House Office Building, (202) 225-4865",Democratic,137
 Representative Michael F. Doyle,Pennsylvania,18,House: 116th (2019-Present),https://doyle.house.gov,"306 Cannon House Office Building, (202) 225-2135",Democratic,138
 Senator Tammy Duckworth,Illinois,None,Senate: 115th-116th (2017-Present),http://www.duckworth.senate.gov,"524 Hart Senate Office Building Washington DC 20510, (202) 224-2854",Democratic,139
 Representative Sean P. Duffy,Wisconsin,7,House: 112th-116th (2011-Present),https://duffy.house.gov/,"1714 Longworth House Office Building, (202) 225-3365",Republican,140
 Representative Jeff Duncan,South Carolina,3,House: 112th-116th (2011-Present),https://jeffduncan.house.gov/,"2229 Rayburn House Office Building, (202) 225-5301",Republican,141
 Representative Neal P. Dunn,Florida,2,House: 115th-116th (2017-Present),https://dunn.house.gov,"316 Cannon House Office Building, (202) 225-5235",Republican,142
 Senator Richard J. Durbin,Illinois,None,Senate: 105th-116th (1997-Present),http://www.durbin.senate.gov,"711 Hart Senate Office Building Washington DC 20510, (202) 224-2152",Democratic,143
 Representative Tom Emmer,Minnesota,6,House: 114th-116th (2015-Present),https://emmer.house.gov/,"315 Cannon House Office Building, (202) 225-2331",Republican,144
 Representative Eliot L. Engel,New York,16,House: 113th-116th (2013-Present),https://engel.house.gov,"2426 Rayburn House Office Building, (202) 225-2464",Democratic,145
 Senator Michael B. Enzi,Wyoming,None,Senate: 105th-116th (1997-Present),http://www.enzi.senate.gov,"379A Russell Senate Office Building Washington DC 20510, (202) 224-3424",Republican,146
 Senator Joni  Ernst,Iowa,None,Senate: 114th-116th (2015-Present),http://www.ernst.senate.gov,"730 Hart Senate Office Building Washington DC 20510, (202) 224-3254",Republican,147
 Representative Veronica Escobar,Texas,16,House: 116th (2019-Present),https://escobar.house.gov,"1505 Longworth House Office Building, (202) 225-4831",Democratic,148
 Representative Anna G. Eshoo,California,18,House: 113th-116th (2013-Present),https://eshoo.house.gov/,"202 Cannon House Office Building, (202) 225-8104",Democratic,149
 Representative Adriano Espaillat,New York,13,House: 115th-116th (2017-Present),https://espaillat.house.gov,"1630 Longworth House Office Building, (202) 225-4365",Democratic,150
 Representative Ron Estes,Kansas,4,House: 115th-116th (2017-Present),https://estes.house.gov/,"1524 Longworth House Office Building, (202) 225-6216",Republican,151
 Representative Dwight Evans,Pennsylvania,3,House: 116th (2019-Present),https://evans.house.gov/,"1105 Longworth House Office Building, (202) 225-4001",Democratic,152
 Senator Dianne Feinstein,California,None,Senate: 102nd-116th (1992-Present),http://www.feinstein.senate.gov,"331 Hart Senate Office Building Washington DC 20510, (202) 224-3841",Democratic,153
 Representative A. Drew Ferguson IV,Georgia,3,House: 115th-116th (2017-Present),https://ferguson.house.gov,"1032 Longworth House Office Building, (202) 225-5901",Republican,154
 Representative Abby Finkenauer,Iowa,1,House: 116th (2019-Present),https://finkenauer.house.gov/,"124 Cannon House Office Building, (202) 225-2911",Democratic,155
 Senator Deb  Fischer,Nebraska,None,Senate: 113th-116th (2013-Present),http://www.fischer.senate.gov,"454 Russell Senate Office Building Washington DC 20510, (202) 224-6551",Republican,156
 Representative Brian K. Fitzpatrick,Pennsylvania,1,House: 116th (2019-Present),https://fitzpatrick.house.gov/,"1722 Longworth House Office Building, (202) 225-4276",Republican,157
" Representative Charles J. ""Chuck"" Fleischmann",Tennessee,3,House: 112th-116th (2011-Present),https://fleischmann.house.gov/,"2410 Rayburn House Office Building, (202) 225-3271",Republican,158
 Representative Lizzie Fletcher,Texas,7,House: 116th (2019-Present),https://fletcher.house.gov,"1429 Longworth House Office Building, (202) 225-2571",Democratic,159
 Representative Bill Flores,Texas,17,House: 112th-116th (2011-Present),https://flores.house.gov/,"2228 Rayburn House Office Building, (202) 225-6105",Republican,160
 Representative Jeff Fortenberry,Nebraska,1,House: 109th-116th (2005-Present),https://fortenberry.house.gov/,"1514 Longworth House Office Building, (202) 225-4806",Republican,161
 Representative Bill Foster,Illinois,11,House: 113th-116th (2013-Present),https://foster.house.gov,"2366 Rayburn House Office Building, (202) 225-3515",Democratic,162
 Representative Virginia Foxx,North Carolina,5,House: 109th-116th (2005-Present),https://foxx.house.gov/,"2462 Rayburn House Office Building, (202) 225-2071",Republican,163
 Representative Lois Frankel,Florida,21,House: 115th-116th (2017-Present),https://frankel.house.gov,"2305 Rayburn House Office Building, (202) 225-9890",Democratic,164
 Representative Marcia L. Fudge,Ohio,11,House: 110th-116th (2008-Present),https://fudge.house.gov/,"2344 Rayburn House Office Building, (202) 225-7032",Democratic,165
 Representative Russ Fulcher,Idaho,1,House: 116th (2019-Present),https://fulcher.house.gov/,"1520 Longworth House Office Building, (202) 225-6611",Republican,166
 Representative Tulsi Gabbard,Hawaii,2,House: 113th-116th (2013-Present),https://gabbard.house.gov,"1433 Longworth House Office Building, (202) 225-4906",Democratic,167
 Representative Matt Gaetz,Florida,1,House: 115th-116th (2017-Present),https://gaetz.house.gov,"1721 Longworth House Office Building, (202) 225-4136",Republican,168
 Representative Mike Gallagher,Wisconsin,8,House: 115th-116th (2017-Present),https://gallagher.house.gov,"1230 Longworth House Office Building, (202) 225-5665",Republican,169
 Representative Ruben Gallego,Arizona,7,House: 114th-116th (2015-Present),https://rubengallego.house.gov/,"1131 Longworth House Office Building, (202) 225-4065",Democratic,170
 Representative John Garamendi,California,3,House: 113th-116th (2013-Present),https://garamendi.house.gov/,"2368 Rayburn House Office Building, (202) 225-1880",Democratic,171
" Representative Jesus G. ""Chuy"" Garcia",Illinois,4,House: 116th (2019-Present),https://chuygarcia.house.gov/,"530 Cannon House Office Building, (202) 225-8203",Democratic,172
 Representative Sylvia R. Garcia,Texas,29,House: 116th (2019-Present),https://sylviagarcia.house.gov/,"1620 Longworth House Office Building, (202) 225-1688",Democratic,173
 Senator Cory Gardner,Colorado,None,Senate: 114th-116th (2015-Present),http://www.gardner.senate.gov,"354 Russell Senate Office Building Washington DC 20510, (202) 224-5941",Republican,174
 Representative Greg Gianforte,Montana,At Large,House: 115th-116th (2017-Present),https://gianforte.house.gov,"1222 Longworth House Office Building, (202) 225-3211",Republican,175
 Representative Bob Gibbs,Ohio,7,House: 113th-116th (2013-Present),https://gibbs.house.gov/,"2446 Rayburn House Office Building, (202) 225-6265",Republican,176
